Run,Distance,Num_Routes,Route
1,534.53,5,1 -> 48 -> 5 -> 52 -> 43 -> 20 -> 41 -> 42 -> 14 -> 19 -> 1
,,,1 -> 13 -> 18 -> 38 -> 45 -> 16 -> 46 -> 34 -> 40 -> 58 -> 11 -> 50 -> 6 -> 1
,,,1 -> 28 -> 49 -> 24 -> 8 -> 44 -> 25 -> 15 -> 26 -> 53 -> 7 -> 1
,,,1 -> 47 -> 33 -> 2 -> 23 -> 60 -> 21 -> 36 -> 37 -> 4 -> 29 -> 32 -> 27 -> 9 -> 1
,,,1 -> 39 -> 10 -> 31 -> 35 -> 51 -> 59 -> 17 -> 22 -> 30 -> 3 -> 12 -> 1
2,536.79,5,1 -> 6 -> 50 -> 31 -> 11 -> 58 -> 40 -> 34 -> 46 -> 16 -> 38 -> 13 -> 1
,,,1 -> 48 -> 5 -> 18 -> 45 -> 43 -> 52 -> 20 -> 41 -> 42 -> 14 -> 26 -> 1
,,,1 -> 47 -> 12 -> 39 -> 10 -> 17 -> 59 -> 51 -> 35 -> 22 -> 30 -> 3 -> 33 -> 1
,,,1 -> 7 -> 49 -> 24 -> 8 -> 44 -> 25 -> 15 -> 53 -> 19 -> 1
,,,1 -> 2 -> 23 -> 60 -> 21 -> 36 -> 37 -> 4 -> 29 -> 32 -> 27 -> 9 -> 28 -> 1
3,535.24,5,1 -> 48 -> 5 -> 52 -> 43 -> 20 -> 41 -> 42 -> 14 -> 19 -> 1
,,,1 -> 47 -> 39 -> 10 -> 31 -> 35 -> 51 -> 59 -> 17 -> 22 -> 30 -> 3 -> 33 -> 1
,,,1 -> 28 -> 49 -> 24 -> 54 -> 8 -> 44 -> 25 -> 26 -> 15 -> 7 -> 1
,,,1 -> 13 -> 18 -> 38 -> 45 -> 16 -> 46 -> 34 -> 40 -> 58 -> 11 -> 50 -> 6 -> 1
,,,1 -> 9 -> 27 -> 32 -> 29 -> 4 -> 37 -> 36 -> 21 -> 60 -> 23 -> 2 -> 12 -> 1
4,537.47,5,1 -> 6 -> 50 -> 11 -> 58 -> 40 -> 34 -> 46 -> 16 -> 45 -> 38 -> 18 -> 13 -> 1
,,,1 -> 7 -> 15 -> 26 -> 25 -> 44 -> 8 -> 54 -> 24 -> 49 -> 28 -> 1
,,,1 -> 48 -> 5 -> 52 -> 43 -> 20 -> 41 -> 42 -> 14 -> 19 -> 1
,,,1 -> 47 -> 39 -> 10 -> 31 -> 35 -> 51 -> 59 -> 17 -> 3 -> 23 -> 2 -> 33 -> 1
,,,1 -> 9 -> 27 -> 32 -> 29 -> 4 -> 37 -> 36 -> 21 -> 60 -> 30 -> 22 -> 12 -> 1
5,547.78,5,1 -> 7 -> 49 -> 24 -> 54 -> 8 -> 44 -> 25 -> 15 -> 19 -> 1
,,,1 -> 48 -> 5 -> 18 -> 45 -> 43 -> 52 -> 20 -> 41 -> 42 -> 14 -> 26 -> 1
,,,1 -> 28 -> 9 -> 27 -> 32 -> 29 -> 4 -> 37 -> 36 -> 21 -> 60 -> 23 -> 2 -> 56 -> 47 -> 1
,,,1 -> 33 -> 3 -> 30 -> 22 -> 59 -> 10 -> 50 -> 39 -> 6 -> 13 -> 1
,,,1 -> 38 -> 55 -> 16 -> 46 -> 34 -> 40 -> 11 -> 31 -> 35 -> 51 -> 59 -> 17 -> 12 -> 1
6,540.11,5,1 -> 26 -> 14 -> 42 -> 52 -> 20 -> 41 -> 43 -> 45 -> 18 -> 5 -> 48 -> 1
,,,1 -> 33 -> 3 -> 30 -> 22 -> 35 -> 51 -> 17 -> 59 -> 10 -> 39 -> 12 -> 47 -> 1
,,,1 -> 19 -> 53 -> 15 -> 25 -> 44 -> 8 -> 24 -> 49 -> 7 -> 1
,,,1 -> 2 -> 23 -> 60 -> 21 -> 36 -> 37 -> 4 -> 29 -> 32 -> 27 -> 9 -> 57 -> 28 -> 1
,,,1 -> 6 -> 50 -> 31 -> 11 -> 58 -> 40 -> 34 -> 46 -> 16 -> 55 -> 38 -> 13 -> 1
7,553.07,5,1 -> 9 -> 27 -> 32 -> 29 -> 4 -> 37 -> 36 -> 21 -> 60 -> 30 -> 22 -> 59 -> 12 -> 1
,,,1 -> 28 -> 49 -> 24 -> 54 -> 8 -> 44 -> 25 -> 26 -> 15 -> 7 -> 1
,,,1 -> 19 -> 14 -> 42 -> 52 -> 20 -> 41 -> 43 -> 5 -> 48 -> 1
,,,1 -> 18 -> 38 -> 45 -> 16 -> 46 -> 34 -> 40 -> 58 -> 11 -> 31 -> 35 -> 51 -> 39 -> 1
,,,1 -> 13 -> 6 -> 50 -> 10 -> 59 -> 17 -> 3 -> 23 -> 2 -> 33 -> 56 -> 47 -> 1
8,542.97,5,1 -> 19 -> 53 -> 15 -> 25 -> 44 -> 8 -> 54 -> 24 -> 49 -> 28 -> 1
,,,1 -> 33 -> 2 -> 23 -> 60 -> 21 -> 36 -> 37 -> 4 -> 29 -> 32 -> 27 -> 9 -> 56 -> 47 -> 1
,,,1 -> 12 -> 3 -> 30 -> 22 -> 17 -> 59 -> 51 -> 35 -> 31 -> 10 -> 39 -> 1
,,,1 -> 7 -> 26 -> 14 -> 42 -> 52 -> 20 -> 41 -> 43 -> 5 -> 48 -> 1
,,,1 -> 6 -> 50 -> 11 -> 40 -> 34 -> 46 -> 16 -> 55 -> 45 -> 38 -> 18 -> 13 -> 1
9,548.99,5,1 -> 39 -> 17 -> 59 -> 51 -> 10 -> 31 -> 35 -> 22 -> 30 -> 3 -> 12 -> 1
,,,1 -> 48 -> 19 -> 14 -> 42 -> 5 -> 13 -> 56 -> 47 -> 1
,,,1 -> 33 -> 2 -> 23 -> 60 -> 21 -> 36 -> 37 -> 4 -> 29 -> 32 -> 27 -> 9 -> 1
,,,1 -> 28 -> 49 -> 24 -> 54 -> 8 -> 44 -> 25 -> 26 -> 15 -> 7 -> 1
,,,1 -> 38 -> 18 -> 52 -> 20 -> 41 -> 43 -> 45 -> 55 -> 16 -> 46 -> 34 -> 40 -> 11 -> 50 -> 6 -> 1
10,557.58,6,1 -> 12 -> 17 -> 59 -> 51 -> 22 -> 35 -> 31 -> 10 -> 39 -> 47 -> 1
,,,1 -> 13 -> 38 -> 16 -> 46 -> 34 -> 40 -> 58 -> 11 -> 50 -> 6 -> 1
,,,1 -> 7 -> 25 -> 44 -> 54 -> 24 -> 8 -> 27 -> 9 -> 49 -> 28 -> 1
,,,1 -> 18 -> 45 -> 43 -> 41 -> 20 -> 52 -> 42 -> 14 -> 26 -> 15 -> 1
,,,1 -> 2 -> 23 -> 32 -> 29 -> 4 -> 37 -> 36 -> 21 -> 60 -> 30 -> 3 -> 33 -> 1
,,,1 -> 48 -> 5 -> 19 -> 1
11,555.71,5,1 -> 47 -> 39 -> 10 -> 31 -> 35 -> 51 -> 59 -> 17 -> 22 -> 30 -> 3 -> 23 -> 57 -> 1
,,,1 -> 13 -> 18 -> 38 -> 45 -> 16 -> 46 -> 34 -> 40 -> 58 -> 11 -> 50 -> 6 -> 1
,,,1 -> 28 -> 49 -> 24 -> 8 -> 44 -> 25 -> 15 -> 53 -> 19 -> 1
,,,1 -> 12 -> 60 -> 21 -> 36 -> 37 -> 4 -> 29 -> 32 -> 27 -> 9 -> 57 -> 2 -> 33 -> 1
,,,1 -> 7 -> 53 -> 26 -> 14 -> 42 -> 41 -> 20 -> 43 -> 52 -> 5 -> 48 -> 1
12,543.53,5,1 -> 13 -> 18 -> 38 -> 45 -> 55 -> 16 -> 46 -> 34 -> 40 -> 11 -> 50 -> 6 -> 1
,,,1 -> 12 -> 3 -> 30 -> 22 -> 35 -> 31 -> 10 -> 51 -> 59 -> 17 -> 39 -> 1
,,,1 -> 19 -> 14 -> 42 -> 41 -> 20 -> 43 -> 52 -> 5 -> 48 -> 56 -> 47 -> 1
,,,1 -> 9 -> 27 -> 32 -> 29 -> 4 -> 37 -> 36 -> 21 -> 60 -> 23 -> 57 -> 2 -> 33 -> 1
,,,1 -> 7 -> 15 -> 26 -> 25 -> 44 -> 8 -> 54 -> 24 -> 49 -> 28 -> 1
13,555.09,5,1 -> 47 -> 56 -> 39 -> 10 -> 31 -> 35 -> 51 -> 59 -> 17 -> 3 -> 23 -> 2 -> 33 -> 1
,,,1 -> 9 -> 27 -> 32 -> 29 -> 4 -> 37 -> 36 -> 21 -> 60 -> 30 -> 22 -> 59 -> 12 -> 1
,,,1 -> 48 -> 14 -> 42 -> 41 -> 20 -> 52 -> 43 -> 45 -> 55 -> 38 -> 13 -> 1
,,,1 -> 7 -> 15 -> 26 -> 25 -> 44 -> 54 -> 24 -> 8 -> 49 -> 28 -> 1
,,,1 -> 19 -> 5 -> 18 -> 16 -> 46 -> 34 -> 40 -> 58 -> 11 -> 50 -> 6 -> 56 -> 1
14,537.30,5,1 -> 47 -> 39 -> 17 -> 59 -> 51 -> 10 -> 31 -> 35 -> 22 -> 30 -> 3 -> 33 -> 1
,,,1 -> 6 -> 50 -> 11 -> 58 -> 40 -> 34 -> 46 -> 16 -> 45 -> 38 -> 18 -> 13 -> 1
,,,1 -> 9 -> 27 -> 32 -> 29 -> 4 -> 37 -> 36 -> 21 -> 60 -> 23 -> 2 -> 12 -> 1
,,,1 -> 7 -> 15 -> 26 -> 25 -> 44 -> 8 -> 54 -> 24 -> 49 -> 28 -> 1
,,,1 -> 19 -> 14 -> 42 -> 52 -> 20 -> 41 -> 43 -> 5 -> 48 -> 1
15,544.81,5,1 -> 47 -> 6 -> 50 -> 11 -> 58 -> 40 -> 34 -> 46 -> 16 -> 45 -> 38 -> 13 -> 1
,,,1 -> 48 -> 5 -> 18 -> 43 -> 52 -> 20 -> 41 -> 42 -> 14 -> 26 -> 7 -> 1
,,,1 -> 28 -> 49 -> 24 -> 54 -> 8 -> 44 -> 25 -> 15 -> 19 -> 1
,,,1 -> 12 -> 3 -> 30 -> 22 -> 59 -> 51 -> 35 -> 31 -> 10 -> 59 -> 17 -> 39 -> 1
,,,1 -> 57 -> 9 -> 27 -> 32 -> 29 -> 4 -> 37 -> 36 -> 21 -> 60 -> 23 -> 2 -> 33 -> 1
16,543.72,5,1 -> 6 -> 50 -> 31 -> 11 -> 58 -> 40 -> 34 -> 46 -> 16 -> 38 -> 13 -> 1
,,,1 -> 7 -> 49 -> 24 -> 8 -> 44 -> 25 -> 15 -> 53 -> 19 -> 1
,,,1 -> 48 -> 5 -> 18 -> 45 -> 43 -> 52 -> 20 -> 41 -> 42 -> 14 -> 26 -> 1
,,,1 -> 28 -> 57 -> 9 -> 27 -> 32 -> 29 -> 4 -> 37 -> 36 -> 21 -> 60 -> 23 -> 2 -> 1
,,,1 -> 47 -> 56 -> 33 -> 3 -> 30 -> 22 -> 17 -> 59 -> 51 -> 35 -> 10 -> 39 -> 12 -> 1
17,555.92,5,1 -> 48 -> 19 -> 5 -> 18 -> 38 -> 55 -> 16 -> 46 -> 34 -> 13 -> 1
,,,1 -> 47 -> 56 -> 6 -> 50 -> 11 -> 40 -> 31 -> 35 -> 51 -> 10 -> 39 -> 1
,,,1 -> 28 -> 49 -> 24 -> 25 -> 44 -> 8 -> 27 -> 9 -> 57 -> 32 -> 29 -> 23 -> 2 -> 1
,,,1 -> 7 -> 15 -> 26 -> 14 -> 42 -> 41 -> 20 -> 52 -> 43 -> 45 -> 56 -> 1
,,,1 -> 12 -> 17 -> 22 -> 30 -> 21 -> 36 -> 37 -> 4 -> 60 -> 3 -> 33 -> 1
18,553.60,5,1 -> 19 -> 26 -> 14 -> 42 -> 41 -> 20 -> 52 -> 43 -> 38 -> 1
,,,1 -> 13 -> 39 -> 10 -> 31 -> 35 -> 22 -> 51 -> 59 -> 17 -> 12 -> 1
,,,1 -> 7 -> 15 -> 25 -> 44 -> 54 -> 24 -> 8 -> 27 -> 9 -> 49 -> 28 -> 1
,,,1 -> 6 -> 50 -> 11 -> 58 -> 40 -> 34 -> 46 -> 16 -> 45 -> 18 -> 5 -> 48 -> 56 -> 47 -> 1
,,,1 -> 33 -> 2 -> 23 -> 29 -> 32 -> 4 -> 37 -> 36 -> 21 -> 30 -> 3 -> 56 -> 1
19,546.61,5,1 -> 2 -> 23 -> 57 -> 32 -> 29 -> 4 -> 37 -> 36 -> 21 -> 60 -> 30 -> 3 -> 33 -> 1
,,,1 -> 48 -> 18 -> 38 -> 45 -> 16 -> 46 -> 34 -> 40 -> 58 -> 11 -> 50 -> 6 -> 1
,,,1 -> 28 -> 49 -> 9 -> 27 -> 8 -> 24 -> 54 -> 44 -> 25 -> 15 -> 7 -> 1
,,,1 -> 13 -> 39 -> 10 -> 31 -> 35 -> 22 -> 51 -> 17 -> 12 -> 56 -> 47 -> 1
,,,1 -> 5 -> 52 -> 43 -> 20 -> 41 -> 42 -> 14 -> 26 -> 19 -> 1
20,568.97,6,1 -> 39 -> 10 -> 31 -> 35 -> 51 -> 22 -> 30 -> 17 -> 12 -> 56 -> 47 -> 1
,,,1 -> 28 -> 57 -> 9 -> 27 -> 8 -> 44 -> 25 -> 24 -> 49 -> 1
,,,1 -> 6 -> 50 -> 11 -> 40 -> 34 -> 46 -> 16 -> 55 -> 38 -> 13 -> 1
,,,1 -> 48 -> 5 -> 14 -> 42 -> 41 -> 20 -> 52 -> 43 -> 45 -> 18 -> 1
,,,1 -> 2 -> 23 -> 32 -> 29 -> 4 -> 37 -> 36 -> 21 -> 60 -> 3 -> 33 -> 56 -> 1
,,,1 -> 19 -> 26 -> 15 -> 7 -> 1
